Date,code,Hour01,Hour02,Hour03,Hour04,Hour05,Hour06,Hour07,Hour08,Hour09,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24
2024-04-27,Sistema,8416268.81000,8139684.03000,7934365.14000,7801216.87000,7802711.66000,7866953.71000,8060693.66000,8611512.50000,9019758.21000,9417098.64000,9631106.70000,9882655.08000,9825242.61000,9761981.47000,9669628.56000,9613448.98000,9515583.90000,9453804.19000,10022279.38000,10070282.41000,9806988.02000,9391935.06000,8934686.71000,8515651.18000
2024-04-28,Sistema,8153358.39000,7823646.09000,7495560.68000,7290789.06000,7186795.65000,7058942.05000,6899473.59000,7167562.93000,7482302.18000,7759851.09000,8026182.22000,8277771.71000,8459761.83000,8469134.80000,8364289.97000,8373980.81000,8391670.64000,8366776.05000,9037799.05000,9296771.60000,9195967.42000,8965875.21000,8547088.54000,8101750.18000
2024-04-29,Sistema,7755006.39000,7559477.81000,7424995.07000,7358043.41000,7541190.63000,7993483.44000,8218854.74000,8737461.99000,9136051.00000,9427128.20000,9745374.94000,10044638.03000,9985168.43000,10132913.19000,10353215.34000,10365625.70000,10315355.57000,10040895.25000,10521997.09000,10741050.68000,10522650.66000,10127382.98000,9476883.76000,8842359.25000
2024-04-30,Sistema,8352906.12000,8072548.61000,7907747.18000,7810048.02000,7971088.05000,8323477.64000,8504266.51000,8973752.21000,9397498.22000,9726111.36000,10529865.29000,10803828.37000,10777075.18000,10961999.92000,11161301.70000,11045595.58000,10934418.58000,10629771.16000,10978013.44000,11071133.94000,10862661.40000,10444038.22000,9620134.47000,9001628.16000
